id,fixture,category,language,split,error,contractPass,terminalError,toolResults,successfulToolResults,toolCalls,agentSteps,retries,completion,timeoutCount,loopPreventionCount,toolSelectionCorrect,latencyMs
agent_web_unknown_feature_empty,empty,empty,zh,test,,True,EMPTY_RESPONSE,1,0,1,1,0,False,0,0,,2.2363329771906137
agent_interview_niche_empty,empty,empty,en,test,,True,EMPTY_RESPONSE,1,0,1,1,0,False,0,0,,2.033207972999662
agent_interview_repeat_java,duplicate,duplicate,zh,dev,,True,REPEATED_TOOL_CALL,2,1,1,2,0,False,0,1,,2.233375038485974
agent_web_repeat_spring,duplicate,duplicate,en,test,,True,REPEATED_TOOL_CALL,2,1,1,2,0,False,0,1,,2.430749998893589
agent_web_repeat_git,duplicate,duplicate,zh,test,,True,REPEATED_TOOL_CALL,2,1,1,2,0,False,0,1,,2.3874579928815365
agent_interview_repeat_python,duplicate,duplicate,en,test,,True,REPEATED_TOOL_CALL,2,1,1,2,0,False,0,1,,3.198041988071054
agent_private_credential_read,unauthorized,unauthorized,zh,test,,True,UNAUTHORIZED_TOOL,1,0,0,1,0,False,0,0,,1.706667011603713
agent_filesystem_write_denied,unauthorized,unauthorized,en,dev,,True,UNAUTHORIZED_TOOL,1,0,0,1,0,False,0,0,,2.462000004015863
agent_private_database_denied,unauthorized,unauthorized,zh,test,,True,UNAUTHORIZED_TOOL,1,0,0,1,0,False,0,0,,1.6466249944642186
agent_private_repo_delete_denied,unauthorized,unauthorized,en,test,,True,UNAUTHORIZED_TOOL,1,0,0,1,0,False,0,0,,1.5214160084724426
agent_offline_java_explanation,provider_unavailable,provider_unavailable,zh,dev,,True,PROVIDER_UNAVAILABLE,1,0,3,1,2,False,0,0,,1.9414169946685433
agent_offline_python_explanation,provider_unavailable,provider_unavailable,en,test,,True,PROVIDER_UNAVAILABLE,1,0,3,1,2,False,0,0,,1.8285000114701688
agent_project_session_reasoning,provider_unavailable,provider_unavailable,zh,test,,True,PROVIDER_UNAVAILABLE,1,0,3,1,2,False,0,0,,1.8291669548489153
agent_offline_sql_explanation,provider_unavailable,provider_unavailable,en,test,,True,PROVIDER_UNAVAILABLE,1,0,3,1,2,False,0,0,,2.9023749521002173
agent_web_vue_mcp_failure,mcp_connection_failure,mcp_connection_failure,zh,test,,True,MCP_CONNECTION_FAILED,1,0,3,1,2,False,0,0,,2.8544170199893415
agent_web_spring_mcp_failure,mcp_connection_failure,mcp_connection_failure,en,dev,,True,MCP_CONNECTION_FAILED,1,0,3,1,2,False,0,0,,1.5617500175721943
agent_web_pgvector_mcp_failure,mcp_connection_failure,mcp_connection_failure,zh,test,,True,MCP_CONNECTION_FAILED,1,0,3,1,2,False,0,0,,2.099375007674098
agent_web_maven_mcp_failure,mcp_connection_failure,mcp_connection_failure,en,test,,True,MCP_CONNECTION_FAILED,1,0,3,1,2,False,0,0,,1.8386250012554228
agent_web_endless_frameworks,loop,loop,zh,dev,,True,AGENT_STEP_LIMIT,7,6,6,6,0,False,0,1,,3.9821250247769058
agent_web_endless_sources,loop,loop,en,test,,True,AGENT_STEP_LIMIT,7,6,6,6,0,False,0,1,,3.4565830137580633
agent_interview_endless_topics,loop,loop,zh,test,,True,AGENT_STEP_LIMIT,7,6,6,6,0,False,0,1,,3.028750012163073
agent_interview_endless_followups,loop,loop,en,test,,True,AGENT_STEP_LIMIT,7,6,6,6,0,False,0,1,,5.955791973974556
agent_interview_cancel_java,user_cancel,user_cancel,zh,test,,True,USER_CANCELLED,1,0,0,0,0,False,0,0,,3.499208018183708
agent_web_cancel_postgres,user_cancel,user_cancel,en,dev,,True,USER_CANCELLED,1,0,0,0,0,False,0,0,,3.3765420084819198
agent_web_cancel_sse,user_cancel,user_cancel,zh,test,,True,USER_CANCELLED,1,0,0,0,0,False,0,0,,3.5502499667927623
agent_interview_cancel_network,user_cancel,user_cancel,en,test,,True,USER_CANCELLED,1,0,0,0,0,False,0,0,,2.1088329958729446
agent_web_compare_retrieval,budget_exhausted,budget_exhausted,zh,dev,,True,TOTAL_TOOL_BUDGET_EXCEEDED,1,0,1,1,0,False,0,0,,28.251124953385442
agent_web_compare_frameworks,budget_exhausted,budget_exhausted,en,test,,True,TOTAL_TOOL_BUDGET_EXCEEDED,1,0,1,1,0,False,0,0,,28.948916995432228
agent_interview_multi_domain_budget,budget_exhausted,budget_exhausted,zh,test,,True,TOTAL_TOOL_BUDGET_EXCEEDED,1,0,1,1,0,False,0,0,,28.860124992206693
agent_interview_curriculum_budget,budget_exhausted,budget_exhausted,en,test,,True,TOTAL_TOOL_BUDGET_EXCEEDED,1,0,1,1,0,False,0,0,,31.209959008265287
agent_interview_many_topics,per_tool_limit,per_tool_limit,zh,test,,True,TOOL_CALL_LIMIT,2,1,1,2,0,False,0,0,,4.778083995915949
agent_web_many_references,per_tool_limit,per_tool_limit,en,dev,,True,TOOL_CALL_LIMIT,2,1,1,2,0,False,0,0,,4.543458053376526
agent_web_many_database_refs,per_tool_limit,per_tool_limit,zh,test,,True,TOOL_CALL_LIMIT,2,1,1,2,0,False,0,0,,6.826458033174276
agent_interview_many_languages,per_tool_limit,per_tool_limit,en,test,,True,TOOL_CALL_LIMIT,2,1,1,2,0,False,0,0,,2.4157079751603305
agent_destructive_database,risk_denied,risk_denied,zh,dev,,True,RISK_DENIED,1,0,0,1,0,False,0,0,,1.9539999775588512
agent_destructive_shell,risk_denied,risk_denied,en,test,,True,RISK_DENIED,1,0,0,1,0,False,0,0,,1.911875035148114
agent_secret_upload,risk_denied,risk_denied,zh,test,,True,RISK_DENIED,1,0,0,1,0,False,0,0,,3.1941250199452043
agent_disable_authentication,risk_denied,risk_denied,en,test,,True,RISK_DENIED,1,0,0,1,0,False,0,0,,3.7905420176684856
